名古屋城,"1. 施設設備
- エレベーターは広くて待ち時間が少ない
- 本丸御殿が工事中で見学できず
- 天守閣は耐震問題で入場不可

2. サービス
- 係員の注意がうるさすぎる
- 武将隊がいないと写真がとれない
- 駅からのアクセスが悪いため、タクシー推奨

3. 飲食
- 食事が少なく午後から行ってしまった
- 駐車場が混んで停められない
- 売店の商品が夏向きに偏っている"
東京タワー,"1. 東京タワーの特徴
・入場料が少し高め
・展望台のガラスが一部透明で足元が怖い
・外国人観光客が多い

2. 東京タワーのイベントや特徴
・特別展望台は2017年夏までリニューアル工事でクローズ
・夜の東京タワーは赤く光る柱が美しい
・クリスマス時期は混雑する

3. 東京タワーのアクセスとサービス
・アクセスが悪い
・エレベーターや階段での移動があり
・双眼鏡のレンタルなどサービスは割と充実"
山中温泉　ゆげ街道,"1. 設備
・銭湯のような場所はシャンプーやボディーソープがない
・一部工事中で残念

2. 季節ごとのイベントや特徴
・雪の季節は飛沫が頭まで飛んでくるので注意が必要

3. サービス
・飲食店はあまりない"
ジェイアール名古屋タカシマヤ,"1. 混雑
・土日は混んでいる
・平日でも人が多い
・人が多いせいか冷房が効かず汗だく

2. ショッピング
・値段が高いイメージ
・お客さんが多く、商品の入荷も他店より多い
・お目当てのものを買うと、お昼ご飯が食べられないことがある

3. 設備
・エレベーター待ちの列が長い
・エレベーターが混んでいることが多い
・地下鉄東山線からは地下直通ではなく、一度階段で地上に出なければならないのが不便"
千葉市動物公園,"1. 安全面
・雨が降ると滑って危険
・階段が長くてしんどい

2. サービス
・奥社の空いている時間に気をつける必要がある"
千葉城跡（千葉県千葉市）,"1. サービス
・展示内容が充実しており、見応えがある
・雨天でも楽しめるような施設や案内が充実している

2. 値段
・入場料が高いと感じる
・特別展示やイベントに追加料金が必要な場合がある

3. 季節ごとのイベントや特徴
・雨の日でも楽しめるイベントや展示がある
・季節によって展示内容が変わる特徴がある"
稲毛海浜公園,"1. 施設・イベント
・葛西臨海公園と比べると寂しい雰囲気がある
・もっと人を呼び込むための施設やイベントが必要

2. 飲食施設
・飲食施設の充実が必要

3. 交通アクセス
・交通アクセスは少し難がある

4. プール施設
・流れるプールは芋洗い状態で、空いてるともっと楽しいと思われる
・広すぎるので調べてから行くと良い

5. コロナ対策
・コロナの時期はぼっちで行っても恥ずかしくはない。ただし道中対策は怠らない"
昭和の森,"1. 遊具の安全性
・長い滑り台が面白いが、お尻が痛くなるため敷物が必要
・遊具近くでは子供が飛び出す可能性がある

2. 施設の利便性
・飲食物を含めた売店が限られている
・交通の便が悪いため徒歩でのアクセスが厳しい

3. 季節イベントと混雑
・ゴールデンウィークには混雑する可能性が高い
・広さの割に桜の本数が少ないが、入園料がかからないため重宝している"
谷中ぎんざ商店街,"1. アクセス
・階段があるためベビーカーでは通りきれない
・外国人観光客の多さによる混雑
・道幅が狭く、狭い中でドンっと突かれる

2. サービス
・終始無言でにらんでいた
・下調べが足りなかった
・男性でなければおすすめしない
・インバウンドを意識しすぎてか、少し間隔がずれてしまっている

3. 飲食
・商品棚にぶつかりそうになる
・地域の人にまじってお弁当を買うことが推奨される"
お台場,"1. アクセス
・電車で行くにはりんかい線とゆりかもめしかなく、不便
・交通が不便
・急遽行ったので、場所がわからず

2. 混雑
・連休だったせいか、イベントもあって人も多く、大変
・休日はとても混んでいます
・EXILEの居酒屋は2時間弱並んで入れた

3. 施設
・VenusFortやDiverCityなど、見どころはあるが利便性が低い
・ショッピングモールはどこに行ってもあまり変わりません
・周辺にレジャー施設があるが、雨の日は楽しめない"
IKEA立川,"1. 混雑
・土日祝日は激混み
・オープンしてから数年経ちますが，いまだに混雑しています
・この日は結構混んでました

2. 購入目的
・まず購入目的がないと疲労度が楽しさを上回ってしまうでしょう

3. 駐車料金
・以前までは駐車料金がかかっていた"
高尾山,"1. トピック
・値段がやや割高
・砂埃が舞いやすい
・雨の際に代替イベントが必要

2. トピック
・非火山温泉で美しい食塩泉あり
・炭酸泉も濃厚
・ハイキングできる季節がある

3. トピック
・ケーブルカーが混雑
・最大斜度が急
・朝の登山はきつい
・人混みと混雑する道路に注意"
アメ横,"1. 街の環境
・コロナで寂しい感じ
・物価高で値段も上がったかなとも思う
・通りによってはゴミが目立つ場所があり、衛生上少し気になる
・お店のかたも元気が無いように思えることがある

2. 買い物環境
・魚介に関しては品質が落ちる
・冷凍マグロを生といって売っていた店がある
・値切るべき場所では、呼び込みをやってる店では値切る必要あり

3. 混雑度
・人が多くて混雑
・小学生の娘と行ったときに大変でした
・土曜のお昼にいったので観光客でぎっしり"
千里浜なぎさドライブウェイ,"1. 砂浜の状況
・砂浜が侵食されており、雨風の影響で通行止めになる日が増えている
・砂浜に g ゴミを取り除いたり整備するための重機が頻繁に活動しており、バイクなどでの通行は避けるべき
・砂浜に入る車は砂の深い部分にはまる可能性があるため注意が必要

2. 天候や季節ごとの影響
・雨や波が強い日は通行止めになる可能性がある
・夏場は海水浴客の車で浜辺が埋め尽くされ景観が楽しめない
・冬場には雪で注意が必要である

3. 衛生状態やサービス
・シャワーは有料である
・簡易トイレのみで設備が限られている
・海の臭いや汚れからくる衛生に関するリスクがある"
